lga_id,lga_name,state,geopolitical_zone,latitude,longitude,population_0_14,children_6_14,oos_count,oos_rate,poverty_rate,conflict_score,gender_gap,distance_to_school_km,teacher_pupil_ratio,disability_rate,school_density_per_1000,literacy_rate,water_sanitation_access,dominant_driver,risk_tier
145,Borno_LGA_27,Borno,NE,11.3944,13.7353,117113,58688,37725,0.6428,0.7473,0.8338,0.3461,10.52,0.01,0.0909,0.432,0.2256,0.2084,poverty,Critical
146,Cross River_LGA_01,Cross River,SS,5.184,8.5605,53903,28717,8448,0.2942,0.3545,0.2245,0.0112,8.28,0.02179,0.0398,1.072,0.6238,0.5666,poverty,Medium
147,Cross River_LGA_02,Cross River,SS,5.2966,8.0443,36047,17740,4052,0.2284,0.2912,0.2485,0.1119,2.35,0.01641,0.058,0.729,0.6955,0.6431,poverty,Medium
148,Cross River_LGA_03,Cross River,SS,6.1121,7.9739,161046,72748,19943,0.2741,0.3674,0.3575,0.1244,0.5,0.01533,0.0503,0.724,0.6571,0.5549,poverty,Medium
149,Cross River_LGA_04,Cross River,SS,5.2305,9.0525,132662,53907,17132,0.3178,0.3936,0.2232,0.1483,5.87,0.02327,0.053,0.773,0.6775,0.6564,poverty,Medium
150,Cross River_LGA_05,Cross River,SS,5.9452,8.0348,12506,5099,2162,0.4242,0.2376,0.3123,0.0953,9.84,0.02991,0.0563,0.421,0.8622,0.7191,distance,High
151,Cross River_LGA_06,Cross River,SS,5.4953,8.6065,39682,17536,3394,0.1936,0.2972,0.2582,0.1238,3.86,0.01342,0.0513,0.779,0.6133,0.559,poverty,Low
152,Cross River_LGA_07,Cross River,SS,5.6938,8.6492,98197,44510,14505,0.3259,0.4547,0.1507,0.133,0.64,0.02095,0.0574,0.661,0.7997,0.4411,poverty,Medium
153,Cross River_LGA_08,Cross River,SS,6.2168,8.5464,71761,31271,6911,0.221,0.2397,0.1006,0.133,0.93,0.02085,0.0388,1.03,0.622,0.7422,poverty,Medium
154,Cross River_LGA_09,Cross River,SS,6.3611,9.2991,92137,49675,14800,0.298,0.2052,0.1397,0.0454,10.62,0.02227,0.0538,0.707,0.7062,0.7636,distance,Medium
155,Cross River_LGA_10,Cross River,SS,5.1333,7.9732,11418,4610,873,0.1895,0.1918,0.1738,0.1028,0.78,0.01971,0.0505,0.153,0.6468,0.7478,school_supply,Low
156,Delta_LGA_01,Delta,SS,6.3253,6.5856,191109,99560,41715,0.419,0.3424,0.2532,0.0685,12.04,0.02163,0.0563,0.84,0.7855,0.5966,distance,High
157,Delta_LGA_02,Delta,SS,6.2268,5.2509,92222,40705,14426,0.3544,0.4735,0.3257,0.0143,2.74,0.02643,0.0472,0.646,0.8321,0.4215,poverty,Medium
158,Delta_LGA_03,Delta,SS,4.8079,5.8171,31687,14660,6060,0.4134,0.3659,0.3489,0.087,12.64,0.0209,0.0522,1.032,0.7644,0.5729,distance,High
159,Delta_LGA_04,Delta,SS,5.5443,5.3429,48175,23074,8992,0.3897,0.5265,0.2476,0.1211,1.64,0.02082,0.0734,0.687,0.7459,0.3862,poverty,Medium
160,Delta_LGA_05,Delta,SS,6.0492,6.0347,42389,20212,6427,0.318,0.3424,0.2668,0.2352,2.49,0.014,0.0431,0.517,0.7949,0.5736,poverty,Medium
161,Delta_LGA_06,Delta,SS,5.8007,5.2899,182609,85516,31112,0.3638,0.264,0.3224,0.13,3.94,0.01325,0.0568,0.577,0.6783,0.6152,school_supply,Medium
162,Delta_LGA_07,Delta,SS,5.5118,6.5758,249943,133658,52269,0.3911,0.4498,0.5813,0.0145,3.08,0.01487,0.0415,0.477,0.696,0.4344,poverty,Medium
163,Delta_LGA_08,Delta,SS,5.8684,5.2074,213832,97347,37647,0.3867,0.3982,0.2627,0.2061,5.11,0.01,0.04,0.278,0.7214,0.5355,poverty,Medium
164,Delta_LGA_09,Delta,SS,5.215,5.197,85478,44087,11928,0.2706,0.2701,0.3037,0.1087,0.83,0.0185,0.0501,0.735,0.6549,0.63,poverty,Medium
165,Delta_LGA_10,Delta,SS,5.68,6.6459,115379,48342,12812,0.265,0.3265,0.2544,0.1219,0.5,0.01638,0.0579,1.094,0.8233,0.6951,poverty,Medium
166,Delta_LGA_11,Delta,SS,5.5523,6.2575,144006,76186,19821,0.2602,0.2312,0.3093,0.0616,1.81,0.01338,0.039,0.87,0.7321,0.7209,school_supply,Medium
167,Delta_LGA_12,Delta,SS,5.4124,5.401,47918,23555,7619,0.3235,0.247,0.4583,0.0538,0.5,0.01967,0.0491,0.529,0.6956,0.7391,conflict,Medium
168,Ebonyi_LGA_01,Ebonyi,SE,5.9486,7.2732,30359,14519,4096,0.2821,0.1534,0.1255,0.0773,9.84,0.01136,0.0492,1.003,0.5855,0.8136,distance,Medium
169,Ebonyi_LGA_02,Ebonyi,SE,6.4271,8.647,86563,46561,9613,0.2065,0.0898,0.1215,0.0869,2.93,0.02398,0.0579,0.983,0.7589,0.7268,school_supply,Medium
170,Ebonyi_LGA_03,Ebonyi,SE,5.5772,7.8552,83644,35196,10441,0.2967,0.3527,0.2127,0.0,1.46,0.03572,0.0445,0.205,0.8748,0.5833,poverty,Medium
171,Ebonyi_LGA_04,Ebonyi,SE,6.5736,8.5992,208076,110151,31386,0.2849,0.4622,0.2971,0.001,0.81,0.02951,0.062,0.672,0.8692,0.5304,poverty,Medium
172,Ebonyi_LGA_05,Ebonyi,SE,5.6123,7.248,105050,55109,13080,0.2374,0.2408,0.111,0.0,5.52,0.02308,0.0451,1.381,0.7771,0.7478,poverty,Medium
173,Ebonyi_LGA_06,Ebonyi,SE,6.2342,8.6281,44331,19400,3978,0.2051,0.3197,0.2366,0.0656,5.45,0.03862,0.0473,0.926,0.8766,0.6693,poverty,Medium
174,Ebonyi_LGA_07,Ebonyi,SE,5.7099,8.6054,50899,20702,9815,0.4741,0.3976,0.2169,0.13,15.37,0.01,0.0526,0.79,0.7367,0.5464,distance,High
175,Ebonyi_LGA_08,Ebonyi,SE,5.585,8.1574,246899,120848,29813,0.2467,0.2648,0.0,0.0706,2.74,0.01192,0.0482,0.592,0.8962,0.6992,school_supply,Medium
176,Ebonyi_LGA_09,Ebonyi,SE,6.6749,8.6381,55657,26329,6099,0.2317,0.1852,0.0,0.0875,1.33,0.03008,0.0657,1.271,0.6962,0.7157,school_supply,Medium
177,Ebonyi_LGA_10,Ebonyi,SE,5.8487,8.0542,138059,69550,17574,0.2527,0.2093,0.2789,0.025,1.88,0.01904,0.0659,0.694,0.5809,0.7368,school_supply,Medium
178,Ebonyi_LGA_11,Ebonyi,SE,6.6818,8.5351,99970,42393,7226,0.1705,0.3432,0.0467,0.0541,3.28,0.01488,0.0339,1.001,0.8658,0.5888,poverty,Low
179,Ebonyi_LGA_12,Ebonyi,SE,6.3331,7.9802,249435,123149,32656,0.2652,0.1872,0.1558,0.0708,5.79,0.02491,0.0455,1.094,0.7985,0.6966,school_supply,Medium
180,Ebonyi_LGA_13,Ebonyi,SE,6.4399,7.3719,99959,48850,14229,0.2913,0.3033,0.1645,0.0,6.94,0.01249,0.0658,0.289,0.6607,0.6826,poverty,Medium
181,Ebonyi_LGA_14,Ebonyi,SE,6.184,8.5926,151616,65987,8210,0.1244,0.1311,0.1719,0.1575,0.5,0.02084,0.0613,1.432,0.7299,0.7812,school_supply,Low
182,Ebonyi_LGA_15,Ebonyi,SE,6.0113,8.5152,233481,111678,20832,0.1865,0.2882,0.1757,0.0321,0.83,0.01,0.0402,0.883,0.8556,0.6341,poverty,Low
183,Ebonyi_LGA_16,Ebonyi,SE,5.8088,8.5211,221847,106456,44370,0.4168,0.4883,0.1624,0.0571,12.6,0.02683,0.0446,0.679,0.8193,0.4192,poverty,High
184,Ebonyi_LGA_17,Ebonyi,SE,6.2102,7.8816,104407,47527,13976,0.2941,0.1326,0.0083,0.017,19.03,0.01871,0.0381,0.589,0.7141,0.7586,distance,Medium
185,Edo_LGA_01,Edo,SS,6.9995,5.0716,228038,117945,40184,0.3407,0.3762,0.2584,0.0546,7.76,0.01,0.0521,1.029,0.6976,0.6522,poverty,Medium
186,Edo_LGA_02,Edo,SS,5.5598,5.6456,149716,66487,22614,0.3401,0.3586,0.2848,0.1689,1.65,0.02192,0.05,1.045,0.6639,0.6156,poverty,Medium
187,Edo_LGA_03,Edo,SS,6.3388,5.86,35928,17155,4209,0.2454,0.1746,0.1452,0.1616,0.5,0.02207,0.0601,0.945,0.8174,0.7888,school_supply,Medium
188,Edo_LGA_04,Edo,SS,6.1737,4.896,188709,95205,35382,0.3716,0.4865,0.2216,0.1402,0.5,0.01511,0.0501,1.231,0.7644,0.3765,poverty,Medium
189,Edo_LGA_05,Edo,SS,5.7357,6.3119,29094,14987,3748,0.2501,0.3329,0.02,0.1947,2.56,0.01942,0.0463,1.125,0.6766,0.6578,poverty,Medium
190,Edo_LGA_06,Edo,SS,6.5841,5.0291,105373,54058,11337,0.2097,0.2804,0.1135,0.0189,2.29,0.02526,0.0548,0.922,0.6944,0.687,poverty,Medium
191,Edo_LGA_07,Edo,SS,5.7707,5.8127,80540,42616,14889,0.3494,0.2112,0.25,0.016,9.0,0.01639,0.0291,0.917,0.6896,0.605,distance,Medium
192,Edo_LGA_08,Edo,SS,6.9834,6.234,55790,23005,9941,0.4321,0.4563,0.3682,0.1567,2.05,0.02168,0.0544,0.257,0.7575,0.603,poverty,High
193,Edo_LGA_09,Edo,SS,6.9604,5.8382,77410,34343,8160,0.2376,0.3805,0.1184,0.0518,0.5,0.03144,0.0401,1.09,0.713,0.5745,poverty,Medium
194,Edo_LGA_10,Edo,SS,6.7071,6.108,216828,105122,35188,0.3347,0.3999,0.1167,0.2079,2.02,0.02594,0.0339,0.553,0.819,0.5544,poverty,Medium
195,Edo_LGA_11,Edo,SS,5.9012,6.1751,81033,37849,11077,0.2927,0.343,0.2205,0.1589,4.85,0.01173,0.048,1.048,0.6135,0.5079,poverty,Medium
196,Edo_LGA_12,Edo,SS,6.295,5.7612,156656,69366,22247,0.3207,0.3494,0.293,0.0614,1.44,0.0143,0.0432,1.261,0.7369,0.5579,poverty,Medium
197,Edo_LGA_13,Edo,SS,5.9221,5.9042,234508,118030,36272,0.3073,0.3466,0.209,0.0507,3.84,0.02004,0.0614,1.162,0.6937,0.5774,poverty,Medium
198,Edo_LGA_14,Edo,SS,6.1606,6.1297,218717,115719,27958,0.2416,0.2735,0.3447,0.0922,3.4,0.01572,0.0529,1.518,0.6354,0.559,poverty,Medium
199,Edo_LGA_15,Edo,SS,6.3451,6.4154,82495,37866,10237,0.2704,0.3715,0.1049,0.091,3.68,0.0116,0.043,0.696,0.6057,0.5446,poverty,Medium
200,Ekiti_LGA_01,Ekiti,SW,6.8243,4.898,81040,34543,8913,0.258,0.2553,0.2436,0.0368,5.66,0.018,0.0437,1.27,0.8807,0.5816,poverty,Medium
201,Ekiti_LGA_02,Ekiti,SW,7.3969,5.6724,212346,110340,22662,0.2054,0.0812,0.1141,0.0,0.57,0.03072,0.0209,0.416,0.7574,0.8238,school_supply,Medium
202,Ekiti_LGA_03,Ekiti,SW,7.9375,5.4986,21423,11753,2345,0.1996,0.2117,0.1393,0.0169,0.8,0.01073,0.0484,1.156,0.8569,0.7007,poverty,Low
203,Ekiti_LGA_04,Ekiti,SW,8.0992,5.8399,211551,104859,27074,0.2582,0.2565,0.0925,0.003,1.84,0.02056,0.0411,0.849,0.9231,0.6148,poverty,Medium
204,Ekiti_LGA_05,Ekiti,SW,7.1666,5.527,27777,13722,2172,0.1583,0.1532,0.0629,0.0148,1.5,0.03534,0.0274,0.449,0.7358,0.8485,school_supply,Low
205,Ekiti_LGA_06,Ekiti,SW,7.9072,5.6526,148278,62997,17839,0.2832,0.3967,0.2392,0.0174,4.61,0.01307,0.0222,1.106,0.9328,0.5953,poverty,Medium
206,Ekiti_LGA_07,Ekiti,SW,8.2172,5.5296,155541,84517,10060,0.119,0.2313,0.0606,0.0,2.12,0.02899,0.028,0.992,0.8665,0.7293,poverty,Low
207,Ekiti_LGA_08,Ekiti,SW,8.0025,5.1643,21081,10487,1349,0.1287,0.1566,0.0306,0.0,0.52,0.02688,0.0477,1.09,0.8861,0.7468,school_supply,Low
208,Ekiti_LGA_09,Ekiti,SW,7.4147,4.4931,181988,83174,12202,0.1467,0.1629,0.1465,0.0095,0.5,0.01449,0.045,1.12,0.8708,0.7581,school_supply,Low
209,Ekiti_LGA_10,Ekiti,SW,8.1241,4.9333,99105,45809,11184,0.2442,0.1913,0.0214,0.0342,3.98,0.02563,0.0456,0.723,0.8859,0.6956,school_supply,Medium
210,Ekiti_LGA_11,Ekiti,SW,7.4767,5.3111,87971,35201,10487,0.2979,0.1316,0.1109,0.1463,14.3,0.02232,0.0262,0.61,0.8108,0.7606,distance,Medium
211,Enugu_LGA_01,Enugu,SE,6.2097,7.5795,145852,71692,25609,0.3572,0.3402,0.2843,0.003,0.5,0.02563,0.0397,0.803,0.7667,0.6859,poverty,Medium
212,Enugu_LGA_02,Enugu,SE,6.2015,8.2592,157473,85852,22927,0.2671,0.3576,0.1004,0.1047,1.32,0.02462,0.0523,1.159,0.782,0.5697,poverty,Medium
213,Enugu_LGA_03,Enugu,SE,7.5366,7.6085,75246,41378,9769,0.2361,0.1964,0.1432,0.049,6.04,0.02813,0.0484,1.229,0.8855,0.7354,distance,Medium
214,Enugu_LGA_04,Enugu,SE,6.3177,7.7786,179544,95568,26534,0.2777,0.2088,0.0531,0.1116,5.93,0.0455,0.0391,0.423,0.8168,0.7885,school_supply,Medium
215,Enugu_LGA_05,Enugu,SE,6.8149,7.2145,38335,19924,5241,0.2631,0.1941,0.0105,0.0858,4.03,0.01,0.0446,0.551,0.8077,0.7406,school_supply,Medium
216,Enugu_LGA_06,Enugu,SE,7.4605,6.9457,86506,35909,12528,0.3489,0.3209,0.2142,0.0601,6.02,0.01319,0.0542,0.772,0.7229,0.5781,poverty,Medium
217,Enugu_LGA_07,Enugu,SE,6.4714,7.5687,104910,52254,11851,0.2268,0.3447,0.144,0.0097,1.67,0.01552,0.0459,0.812,0.8674,0.5908,poverty,Medium
218,Enugu_LGA_08,Enugu,SE,7.2058,8.1002,206325,101421,19724,0.1945,0.1012,0.2357,0.1772,3.21,0.03526,0.0398,1.074,0.7182,0.8201,school_supply,Low
219,Enugu_LGA_09,Enugu,SE,7.375,7.1953,121100,61985,21089,0.3402,0.3441,0.2277,0.0125,4.18,0.01378,0.0587,1.153,0.8605,0.5526,poverty,Medium
220,Enugu_LGA_10,Enugu,SE,7.2991,7.644,67254,36466,10480,0.2874,0.4114,0.3265,0.0812,4.98,0.0189,0.0523,1.28,0.8098,0.566,poverty,Medium
221,Enugu_LGA_11,Enugu,SE,6.5819,7.0755,163013,84519,17464,0.2066,0.2538,0.0,0.0,6.29,0.02443,0.0511,0.855,0.9321,0.6082,poverty,Medium
222,Enugu_LGA_12,Enugu,SE,6.4662,7.0682,99473,46464,11311,0.2434,0.3928,0.1318,0.1816,0.5,0.02857,0.0495,0.791,0.7293,0.5524,poverty,Medium
223,Enugu_LGA_13,Enugu,SE,7.088,8.1699,130051,63681,23110,0.3629,0.464,0.191,0.1573,4.01,0.02216,0.0368,0.666,0.7928,0.5617,poverty,Medium
224,Enugu_LGA_14,Enugu,SE,6.4512,8.1125,73315,37283,9069,0.2433,0.4712,0.1515,0.0417,2.15,0.03943,0.0582,0.7,0.8759,0.5103,poverty,Medium
225,Enugu_LGA_15,Enugu,SE,7.5109,7.24,233034,109069,28455,0.2609,0.1221,0.306,0.0665,1.0,0.03966,0.0465,0.674,0.7855,0.8395,school_supply,Medium
226,FCT Abuja_LGA_01,FCT Abuja,NC,9.7405,7.9997,61579,33493,10876,0.3247,0.4075,0.0,0.1387,6.95,0.02335,0.0524,0.749,0.6411,0.57,poverty,Medium
227,FCT Abuja_LGA_02,FCT Abuja,NC,9.2955,7.6816,55291,27361,7913,0.2892,0.3516,0.1357,0.2546,4.28,0.02116,0.059,0.55,0.6342,0.6465,poverty,Medium
228,FCT Abuja_LGA_03,FCT Abuja,NC,9.3473,7.033,159080,86156,26339,0.3057,0.4201,0.1485,0.2261,1.61,0.03186,0.07,0.52,0.5677,0.5181,poverty,Medium
229,FCT Abuja_LGA_04,FCT Abuja,NC,9.7118,6.7573,174713,95987,38961,0.4059,0.4247,0.2178,0.21,13.54,0.02142,0.0571,0.801,0.6605,0.5395,distance,High
230,FCT Abuja_LGA_05,FCT Abuja,NC,9.5932,7.6232,124849,51254,15348,0.2995,0.3243,0.1771,0.2634,4.08,0.01993,0.0427,0.422,0.7238,0.5848,poverty,Medium
231,FCT Abuja_LGA_06,FCT Abuja,NC,9.7356,7.0994,88283,43313,14842,0.3427,0.3571,0.0095,0.2077,5.87,0.03032,0.0533,1.081,0.5773,0.67,poverty,Medium
232,Gombe_LGA_01,Gombe,NE,10.6172,11.9453,170620,72695,35649,0.4904,0.6687,0.4478,0.4191,1.7,0.01941,0.0904,1.028,0.4105,0.2335,poverty,High
233,Gombe_LGA_02,Gombe,NE,9.6089,11.5332,70148,29049,16288,0.5607,0.8124,0.5287,0.4174,1.23,0.01872,0.0818,0.425,0.4267,0.1781,poverty,High
234,Gombe_LGA_03,Gombe,NE,10.9709,11.5884,142312,64432,38301,0.5944,0.783,0.4274,0.3985,4.68,0.01442,0.0905,0.613,0.3579,0.139,poverty,High
235,Gombe_LGA_04,Gombe,NE,10.745,11.3143,53518,27892,14896,0.5341,0.7349,0.8032,0.3686,2.22,0.01669,0.0937,1.051,0.3909,0.3275,poverty,High
236,Gombe_LGA_05,Gombe,NE,9.7917,11.407,41639,18874,9380,0.497,0.7013,0.4224,0.5136,3.56,0.01,0.083,0.785,0.4437,0.2965,poverty,High
237,Gombe_LGA_06,Gombe,NE,10.9172,11.2707,131871,58107,30146,0.5188,0.7004,0.4082,0.3206,3.1,0.02574,0.0998,0.812,0.4621,0.1815,poverty,High
238,Gombe_LGA_07,Gombe,NE,9.5397,11.6564,141829,61583,26408,0.4288,0.6302,0.4288,0.4082,0.5,0.01,0.0802,0.583,0.3714,0.2648,poverty,High
239,Gombe_LGA_08,Gombe,NE,10.7015,11.8925,42384,17622,10000,0.5675,0.7407,0.6059,0.3149,6.86,0.02854,0.0858,0.628,0.4931,0.218,poverty,High
240,Gombe_LGA_09,Gombe,NE,9.5338,10.811,86366,42047,31040,0.7382,0.8317,0.4452,0.3821,16.03,0.02587,0.0797,1.105,0.4373,0.0857,poverty,Critical
241,Gombe_LGA_10,Gombe,NE,10.2592,11.9161,57828,28332,11711,0.4134,0.7568,0.3338,0.2878,0.5,0.01507,0.0809,0.781,0.4492,0.1462,poverty,High
242,Gombe_LGA_11,Gombe,NE,10.9734,11.8691,14171,6591,3807,0.5777,0.7937,0.6097,0.4171,0.92,0.0104,0.1011,0.544,0.4208,0.1986,poverty,High
243,Imo_LGA_01,Imo,SE,5.7369,7.615,201926,91412,26617,0.2912,0.2949,0.3149,0.0778,4.85,0.02805,0.0463,0.903,0.7242,0.7168,poverty,Medium
244,Imo_LGA_02,Imo,SE,6.183,6.7277,221568,101678,28501,0.2803,0.3064,0.3612,0.0555,2.16,0.01,0.0496,0.706,0.7105,0.6783,poverty,Medium
245,Imo_LGA_03,Imo,SE,4.9558,6.322,195271,95247,21103,0.2216,0.3569,0.0,0.0417,5.49,0.03453,0.0577,0.633,0.8804,0.5418,poverty,Medium
246,Imo_LGA_04,Imo,SE,5.2735,6.7885,183634,73732,17198,0.2333,0.1977,0.1783,0.0939,1.3,0.02462,0.0442,0.986,0.8114,0.719,school_supply,Medium
247,Imo_LGA_05,Imo,SE,5.4979,7.7868,110689,48733,18148,0.3724,0.3581,0.5089,0.1058,4.41,0.02587,0.0399,0.667,0.7355,0.6101,poverty,Medium
248,Imo_LGA_06,Imo,SE,5.8878,7.8186,114550,61407,14118,0.2299,0.2671,0.133,0.1368,0.5,0.01,0.0469,0.85,0.8383,0.7051,poverty,Medium
249,Imo_LGA_07,Imo,SE,6.07,7.0854,134668,66391,22422,0.3377,0.2815,0.1965,0.0,12.85,0.02047,0.0472,0.726,0.815,0.5927,distance,Medium
250,Imo_LGA_08,Imo,SE,4.8617,7.6205,111562,54038,12161,0.2251,0.3426,0.0532,0.0684,0.5,0.02148,0.0554,0.525,0.7812,0.6127,poverty,Medium
251,Imo_LGA_09,Imo,SE,6.3454,6.6566,206830,94036,33884,0.3603,0.3808,0.1476,0.029,12.62,0.01953,0.0274,0.865,0.7017,0.5816,distance,Medium
252,Imo_LGA_10,Imo,SE,5.3087,7.3465,79531,42576,13546,0.3182,0.29,0.1745,0.0032,8.24,0.01513,0.0499,0.618,0.826,0.6251,poverty,Medium
253,Imo_LGA_11,Imo,SE,6.037,6.9818,234890,109430,28692,0.2622,0.2265,0.1927,0.1013,8.67,0.01583,0.0345,0.647,0.6901,0.6098,distance,Medium
254,Jigawa_LGA_01,Jigawa,NW,12.0752,9.6443,141664,71539,39104,0.5466,0.7992,0.2142,0.3753,4.16,0.02687,0.0729,1.116,0.2227,0.1184,poverty,High
255,Jigawa_LGA_02,Jigawa,NW,11.7538,9.5574,108723,50241,32825,0.6534,0.6963,0.396,0.2902,16.15,0.02108,0.0764,0.468,0.3492,0.279,poverty,Critical
256,Jigawa_LGA_03,Jigawa,NW,11.421,9.7918,214717,117168,69954,0.597,0.9051,0.3022,0.5407,10.04,0.02317,0.0853,1.363,0.4074,0.02,poverty,High
257,Jigawa_LGA_04,Jigawa,NW,12.6286,9.7351,172344,72906,37274,0.5113,0.8621,0.3349,0.405,1.9,0.03604,0.0998,0.814,0.3491,0.1054,poverty,High
258,Jigawa_LGA_05,Jigawa,NW,12.195,8.838,34277,18280,9820,0.5373,0.817,0.2419,0.4352,1.85,0.02601,0.0946,0.546,0.3629,0.1176,poverty,High
259,Jigawa_LGA_06,Jigawa,NW,12.8374,9.1204,75850,39431,18899,0.4793,0.7148,0.2619,0.4246,9.01,0.01,0.0942,1.081,0.2204,0.2415,poverty,High
260,Jigawa_LGA_07,Jigawa,NW,12.9013,9.7563,78777,41403,24169,0.5838,0.8022,0.5138,0.4009,6.45,0.02741,0.0897,1.193,0.4139,0.2321,poverty,High
261,Jigawa_LGA_08,Jigawa,NW,12.6391,8.9847,159429,73377,36775,0.5012,0.723,0.3045,0.3859,0.95,0.03201,0.0796,1.101,0.4303,0.2377,poverty,High
262,Jigawa_LGA_09,Jigawa,NW,12.8842,10.0411,199669,109748,63388,0.5776,0.8329,0.5648,0.3909,3.88,0.02455,0.0696,0.953,0.2325,0.1191,poverty,High
263,Jigawa_LGA_10,Jigawa,NW,12.1213,9.2189,94366,42382,23524,0.555,0.8152,0.4013,0.4328,9.93,0.02034,0.0769,0.324,0.2704,0.2447,poverty,High
264,Jigawa_LGA_11,Jigawa,NW,12.8444,9.7241,166763,83425,47600,0.5706,0.8051,0.5307,0.4176,2.48,0.01,0.0894,0.7,0.413,0.1347,poverty,High
265,Jigawa_LGA_12,Jigawa,NW,12.8363,9.8359,71644,34400,17445,0.5072,0.7987,0.3351,0.4803,1.55,0.02474,0.0726,0.445,0.4267,0.096,poverty,High
266,Jigawa_LGA_13,Jigawa,NW,11.4683,10.0653,202700,90482,49054,0.5422,0.7539,0.4718,0.4057,2.33,0.01858,0.0938,1.303,0.4014,0.162,poverty,High
267,Jigawa_LGA_14,Jigawa,NW,11.9282,8.8927,90197,37818,19053,0.5038,0.8491,0.3928,0.3696,0.89,0.02283,0.0819,0.967,0.237,0.1681,poverty,High
268,Jigawa_LGA_15,Jigawa,NW,12.3413,9.3359,59115,30188,17945,0.5945,0.7381,0.4203,0.36,16.53,0.01959,0.0935,1.34,0.3799,0.2169,poverty,High
269,Jigawa_LGA_16,Jigawa,NW,12.1011,9.5393,198654,101868,66910,0.6568,0.9317,0.4968,0.5209,6.84,0.03215,0.0807,1.042,0.2122,0.1349,poverty,Critical
270,Jigawa_LGA_17,Jigawa,NW,11.8991,8.8358,139295,71058,38558,0.5426,0.7829,0.2147,0.4431,3.85,0.01416,0.0835,0.72,0.3703,0.164,poverty,High
271,Kaduna_LGA_01,Kaduna,NW,11.3076,7.847,191526,89002,54588,0.6133,0.7459,0.7227,0.4315,1.55,0.02992,0.0735,0.762,0.3303,0.1641,poverty,Critical
272,Kaduna_LGA_02,Kaduna,NW,10.999,8.179,61268,31167,19337,0.6204,0.6955,0.7665,0.3955,9.72,0.01772,0.0652,1.227,0.3126,0.3424,poverty,Critical
273,Kaduna_LGA_03,Kaduna,NW,10.4259,6.9779,69714,28772,16141,0.561,0.8699,0.6348,0.3884,0.84,0.01244,0.08,0.804,0.3762,0.0956,poverty,High
274,Kaduna_LGA_04,Kaduna,NW,10.4412,7.8421,83907,34298,16473,0.4803,0.732,0.4266,0.4068,0.64,0.02439,0.0857,0.22,0.2351,0.3399,poverty,High
275,Kaduna_LGA_05,Kaduna,NW,10.5401,7.1792,68183,28073,16045,0.5716,0.8649,0.6137,0.3776,3.31,0.02223,0.0679,0.928,0.5541,0.1891,poverty,High
276,Kaduna_LGA_06,Kaduna,NW,11.2589,6.776,11244,5045,2771,0.5493,0.9226,0.521,0.365,1.52,0.01115,0.0677,0.785,0.2727,0.0326,poverty,High
277,Kaduna_LGA_07,Kaduna,NW,9.9656,7.5397,61617,24832,14838,0.5976,0.8086,0.5722,0.4235,3.72,0.01877,0.0808,0.565,0.2751,0.2107,poverty,High
278,Kaduna_LGA_08,Kaduna,NW,10.7858,7.6473,27063,13609,9719,0.7142,0.8757,0.6935,0.4456,2.4,0.03156,0.0823,0.99,0.3666,0.1242,poverty,Critical
279,Kaduna_LGA_09,Kaduna,NW,10.9496,7.6444,75717,37338,21504,0.5759,0.7843,0.5512,0.4772,6.05,0.01605,0.0641,0.573,0.2073,0.2257,poverty,High
280,Kaduna_LGA_10,Kaduna,NW,10.4723,7.1045,98527,49836,31414,0.6304,0.7618,0.7299,0.3859,16.94,0.01852,0.0876,0.732,0.3043,0.2044,poverty,Critical
281,Kaduna_LGA_11,Kaduna,NW,10.1733,7.3184,185221,87145,50278,0.577,0.8442,0.659,0.3967,0.93,0.02771,0.0845,1.078,0.404,0.1182,poverty,High
282,Kaduna_LGA_12,Kaduna,NW,10.8015,7.1899,205644,113074,58516,0.5175,0.7451,0.5094,0.423,0.81,0.01,0.0838,0.244,0.2684,0.297,poverty,High
283,Kaduna_LGA_13,Kaduna,NW,9.7231,8.1647,37010,19960,10991,0.5507,0.7806,0.5523,0.4774,2.88,0.02602,0.0652,0.749,0.2112,0.1447,poverty,High
284,Kaduna_LGA_14,Kaduna,NW,9.9479,7.7013,185808,93968,53120,0.5653,0.8023,0.6301,0.4491,2.59,0.01307,0.0816,0.77,0.3763,0.1913,poverty,High
285,Kaduna_LGA_15,Kaduna,NW,10.319,7.7096,204090,90970,47777,0.5252,0.7614,0.5937,0.4092,2.11,0.0175,0.0896,1.17,0.3389,0.2042,poverty,High
286,Kaduna_LGA_16,Kaduna,NW,10.5918,7.6967,31972,17152,9351,0.5452,0.8388,0.4875,0.3516,5.5,0.01852,0.0723,1.229,0.3665,0.174,poverty,High
287,Kaduna_LGA_17,Kaduna,NW,10.6578,7.4563,41602,17831,9797,0.5495,0.8437,0.785,0.4043,1.45,0.01922,0.1074,1.06,0.2791,0.1702,poverty,High
288,Kaduna_LGA_18,Kaduna,NW,10.0045,8.0508,19250,10555,5570,0.5278,0.6702,0.4851,0.4005,5.28,0.02329,0.0679,1.014,0.2493,0.3789,poverty,High
289,Kaduna_LGA_19,Kaduna,NW,9.8896,7.2735,151588,82324,46682,0.5671,0.865,0.6018,0.3487,2.01,0.01,0.0672,0.921,0.2541,0.1375,poverty,High
